NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Sport Cafe Heinola Oy;Urheilukatu 2;18100;Heinola;Heinola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2602591-9
Sport Café;Vanha Rantatie 8;2400;Kirkkonummi;Kirkkonummi;06.09.2002;Anniskelu A, kaikki alkoholijuomat;1721277-1
Sport Forum;Kuukuskuja 4;50100;Mikkeli;Mikkeli;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1036985-6
Sport bar & Grill TimeOut;Retkeilijänkatu 11;980;Helsinki;Helsinki;06.08.2020;Anniskelu A, kaikki alkoholijuomat;3000223-4
Sport&Music Bar Peluri;Aleksanterinkatu 6;15110;Lahti;Lahti;01.07.2018;Anniskelu A, kaikki alkoholijuomat;1616384-0
Sportbaar Mo´de;Viipurinkatu 18;510;Helsinki;Helsinki;04.03.2014;Anniskelu A, kaikki alkoholijuomat;N/A
Sportbar Itis;Itäkatu 7 E 36;930;Helsinki;Helsinki;01.03.2019;Anniskelu A, kaikki alkoholijuomat;0691497-0
Sportbar Kaivokatu;Mannerheimintie 3 / Kaivopiha;100;Helsinki;Helsinki;01.03.2019;Anniskelu A, kaikki alkoholijuomat;0691497-0
Sports Academy Citykäytävä;Keskuskatu 6;100;Helsinki;Helsinki;01.01.2004;Anniskelu A, kaikki alkoholijuomat;1837957-3
Sports Academy Iso Omena;Piispansilta 11;2230;Espoo;Espoo;01.01.2004;Anniskelu A, kaikki alkoholijuomat;1837957-3
Sports Office;Raastuvankatu 15;65100;Vaasa;Vaasa;01.01.1960;Anniskelu A, kaikki alkoholijuomat;0773907-8
Sports bar Jyväskylä;Kauppakatu 41;40100;Jyväskylä;Jyväskylä;02.07.2017;Anniskelu A, kaikki alkoholijuomat;0750509-5
Sportti Pub;Kotkankatu 12;48100;Kotka;Kotka;01.10.2013;Anniskelu A, kaikki alkoholijuomat;0201177-4
SporttiPubi Futari;Puijonkatu 37;70100;Kuopio;Kuopio;27.04.2015;Anniskelu A, kaikki alkoholijuomat;2675039-5
Sporttiravintola Peluri;Rautatienkatu 19-21;15100;Lahti;Lahti;21.08.2020;Anniskelu A, kaikki alkoholijuomat;1616384-0
Spårakoff (ratikka);Mikonkatu;100;Helsinki;Helsinki;01.01.2004;Anniskelu A, kaikki alkoholijuomat;1837957-3
St 1 Kemijärvi;Kirkkokatu 1;98100;Kemijärvi;Kemijärvi;01.11.2019;Vähittäismyyntilupa/max. 5.5 %;3087154-4
St 1 Kerimäki;Kerimäentie 1;58200;Kerimäki;Savonlinna;17.05.2018;Ann.lupa sis. vähittäismyynnin;2903141-7
St 1 Kinnulanlahti;Kinnulanlahti;71730;Kinnulanlahti;Kuopio;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1765980-5
St 1 Kinnulanlahti (väh myynti);Kinnulanlahti;71730;Kinnulanlahti;Kuopio;15.07.2002;Vähittäismyyntilupa/max. 5.5 %;1765980-5
St 1 Loimaa;Kartanonmäenkatu 2;32200;Loimaa;Loimaa;03.12.2013;Vähittäismyyntilupa/max. 5.5 %;1003675-2
St 1-Rantakylä elintarvike;Rantakyläntie 2;50600;Mikkeli;Mikkeli;18.05.1995;Vähittäismyyntilupa/max. 5.5 %;0568724-3
St 1-aseman kahvila Rantakylä;Rantakyläntie 2;50600;Mikkeli;Mikkeli;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0568724-3
St Laurence Golf Klubiravintola;Kaivurinkatu 133;8200;Lohja;Lohja;15.04.2018;Ann.lupa sis. vähittäismyynnin;1586463-7
St. Lake Golf Club;Niemeläntie 30;86800;Pyhäsalmi;Pyhäjärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1060127-2
St. Ranta;Rantatie 238;27800;Säkylä;Säkylä;26.02.2010;Anniskelu A, kaikki alkoholijuomat;2083966-3
St1;Strandvägen 1;65520;Helsingby;Mustasaari;23.12.2002;Vähittäismyyntilupa/max. 5.5 %;0966373-2
St1 Eura;Eurantie 115;27510;Eura;Eura;04.12.2019;Vähittäismyyntilupa/max. 5.5 %;3087288-9
St1 Kangasala;Kangasalantie 1070;36200;Kangasala;Kangasala;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1868017-1
St1 Karjasilta;Poratie 1;90150;Oulu;Oulu;15.09.2015;Vähittäismyyntilupa/max. 5.5 %;2550358-7
St1 Kontiolahti Samin Bensis;Huoltamotie 10;81100;Kontiolahti;Kontiolahti;15.05.2014;Vähittäismyyntilupa/max. 5.5 %;2469441-4
St1 Kyläseppä;Karikontie 1;41900;Petäjävesi;Petäjävesi;01.03.1993;Vähittäismyyntilupa/max. 5.5 %;0176737-7
St1 Kyläseppä;Karikontie 1;41900;Petäjävesi;Petäjävesi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0176737-7
St1 Naantali;Alppilankatu 1;21100;Naantali;Naantali;22.01.2013;Vähittäismyyntilupa/max. 5.5 %;2040558-2
St1 Oravais;Karlebyvägen 30;66800;Oravainen;Vöyri;08.06.2009;Vähittäismyyntilupa/max. 5.5 %;2263665-9
St1 Oravais;Karlebyvägen 30;66800;Oravainen;Vöyri;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2263665-9
St1 Palosaari;Onkilahdenkatu 2;65200;Vaasa;Vaasa;08.01.2015;Vähittäismyyntilupa/max. 5.5 %;2550358-7
St1 Peura;Nelostie 3079 B;95350;Peura;Tervola;10.03.1995;Vähittäismyyntilupa/max. 5.5 %;0664804-3
St1 Peura;Nelostie 3079b;95350;Peura;Tervola;12.03.2015;Anniskelu A, kaikki alkoholijuomat;0664804-3
St1 Pirkkala;Killontorintie 2;33950;Pirkkala;Pirkkala;01.09.2020;Vähittäismyyntilupa/max. 5.5 %;2177471-8
St1 Raisio;Kirkkoväärtinkuja 2;21200;Raisio;Raisio;10.01.2012;Vähittäismyyntilupa/max. 5.5 %;1003675-2
St1 Rauma;Nortamonkatu 19;26100;Rauma;Rauma;08.01.2014;Vähittäismyyntilupa/max. 5.5 %;1003675-2
St1 Rovaniemi Saarenkylä;Napapiirintie 2;96900;Saarenkylä;Rovaniemi;16.04.2013;Vähittäismyyntilupa/max. 5.5 %;2040558-2
St1 Vantaa, Lentoasema;Ilmailukuja 1;1530;Vantaa;Vantaa;07.10.2011;Vähittäismyyntilupa/max. 5.5 %;0603440-4
St1 Varpaisjärvi;Kauppatie 22;73200;Varpaisjärvi;Lapinlahti;16.04.2018;Vähittäismyyntilupa/max. 5.5 %;2897301-5
St1 Vehmersalmi;Linnatie 3;71310;Vehmersalmi;Kuopio;01.09.2019;Ann.lupa sis. vähittäismyynnin;0976817-1
St1 Vehmersalmi (luovutuspaikka);Linnantie 3;71310;Vehmersalmi;Kuopio;29.04.2019;Luovutuspaikka;1505551-4
St1 Voutila;Nuolitie 1;1740;Vantaa;Vantaa;26.04.1994;Vähittäismyyntilupa/max. 5.5 %;0520283-2
St1, Cafe Raparperi;Topenontie 8;14300;Renko;Hämeenlinna;10.05.2018;Vähittäismyyntilupa/max. 5.5 %;2910090-2
St1, Ylistaro;Ylistarontie 20;61400;Ylistaro;Seinäjoki;15.03.2001;Vähittäismyyntilupa/max. 5.5 %;1650365-7
St1-Laukaa;Yläniementie 51;41341;Laukaa;Laukaa;05.10.2015;Vähittäismyyntilupa/max. 5.5 %;2694468-3
Stadin Panimo;Kaasutehtaankatu 1, rak. 6;540;Helsinki;Helsinki;29.01.2018;Käsityöläisoluen vähittäismyynti/max 12.0%;1479667-9
Stadin Panimo;Välttitie 2;23500;Uusikaupunki;Uusikaupunki;01.07.2020;Valmistuspaikan väh.my/max 5,5 %;1479667-9
Stadin Panimobaari;Kaasutehtaankatu 1, rakennus 6;540;Helsinki;Helsinki;12.02.2015;Anniskelu A, kaikki alkoholijuomat;2664020-9
Stadin Piste;Mannerheimintie 20 A;100;Helsinki;Helsinki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2425309-6
Stadin Ravintola;Mannerheimintie 47;250;Helsinki;Helsinki;15.06.2020;Anniskelu A, kaikki alkoholijuomat;N/A
Stadium Live Club;Siltakatu 3;32800;Kokemäki;Kokemäki;26.03.2008;Anniskelu A, kaikki alkoholijuomat;1071744-3
Stadshotellet & Nöjescenter;Kanavapuistikko 13;68600;Pietarsaari;Pietarsaari;03.11.2005;Anniskelu A, kaikki alkoholijuomat;1994968-9
Stairs to Heaven;Kyläsepäntie 14;26510;Rauma;Rauma;15.10.2003;Anniskelu A, kaikki alkoholijuomat;1782007-2
Stalls;Tallimäentie 6;25900;Taalintehdas;Kemiönsaari;09.04.2020;Ann.lupa sis. vähittäismyynnin;2325696-5
Stallkrogen;Vättlaxvägen 107;10570;Bromarv;Raasepori;09.06.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Star Arctic Hotel;Kaunispää, Ylämajantie 1;99830;Saariselkä;Inari;06.12.2017;Anniskelu A, kaikki alkoholijuomat;2779844-6
Star Arctic Wilderness Restaurant;Rovaniementie 1332;99800;Ivalo;Inari;15.11.2019;Anniskelu A, kaikki alkoholijuomat;2779844-6
Star Cafe;Liisankatu 14;170;Helsinki;Helsinki;16.05.2006;Anniskelu A, kaikki alkoholijuomat;1789997-2
Star Pizza;Klaneettitie 12;420;Helsinki;Helsinki;01.04.2019;Anniskelu A, kaikki alkoholijuomat;N/A
Startti Pub;Ensontie 33;55610;Imatra;Imatra;03.01.1976;Anniskelu A, kaikki alkoholijuomat;0658353-4
Station;Kielotie 11;1300;Vantaa;Vantaa;13.03.2018;Ann.lupa sis. vähittäismyynnin;1102759-1
Station 23;Christinegatan 2;68600;Pietarsaari;Pietarsaari;14.07.2020;Määräaikainen anniskelu sisältäen vähittäismyynnin;3107179-2
Steak House;Sibeliuksenkatu 5;13100;Hämeenlinna;Hämeenlinna;22.05.2020;Anniskelu A, kaikki alkoholijuomat;2826289-7
Steakhouse Rosenbom;Siltapuistonkatu 1;28100;Pori;Pori;16.11.2018;Anniskelu A, kaikki alkoholijuomat;2312202-7
Steakhouse Rosenbom;Itsenäisyydenkatu 44;28130;Pori;Pori;17.12.2013;Anniskelu A, kaikki alkoholijuomat;2312202-7
Stefans Steakhouse Ruka;Rukakyläntie 8;93830;Rukatunturi;Kuusamo;01.10.2014;Anniskelu A, kaikki alkoholijuomat;2627387-5
Stefan`s Steakhouse Oulu;Kauppurienkatu 8;90100;Oulu;Oulu;08.07.2019;Anniskelu A, kaikki alkoholijuomat;2434330-7
Stefanien Salonki BIG TITS;Satakunnankatu 30;33210;Tampere;Tampere;28.07.2006;Anniskelu A, kaikki alkoholijuomat;1100566-7
Stefan´s Steakhouse;Kauppapuistikko 15;65100;Vaasa;Vaasa;20.03.2018;Anniskelu A, kaikki alkoholijuomat;2434330-7
Stefan´s Steakhouse;Kehräsaari;33200;Tampere;Tampere;06.04.2018;Ann.lupa sis. vähittäismyynnin;2319477-6
Stefan´s Steakhouse Levi;Hissitie 15;99130;Sirkka;Kittilä;15.10.2015;Anniskelu A, kaikki alkoholijuomat;1018487-8
Stefan´s Steakhouse, Helsinki;Korkeavuorenkatu 34;130;Helsinki;Helsinki;16.11.2012;Anniskelu A, kaikki alkoholijuomat;2434330-7
Stefan´s Steakhouse, Jyväskylä;Ilmarisenkatu 2;40100;Jyväskylä;Jyväskylä;03.07.2014;Anniskelu A, kaikki alkoholijuomat;2434330-7
Steissin Pub;Urpiaisentie 6;1450;Vantaa;Vantaa;12.11.2019;Anniskelu A, kaikki alkoholijuomat;3088960-5
Stella;Louhenkatu 9;74100;Iisalmi;Iisalmi;03.02.2012;Anniskelu A, kaikki alkoholijuomat;2269069-8
Sticky Wingers;Tuomiokirkonkatu 17;33100;Tampere;Tampere;20.04.2018;Ann.lupa sis. vähittäismyynnin;2265447-8
Stiltje;Ön Gullkrona;21650;Lillandet;PARAINEN;25.06.2019;Anniskelu A, kaikki alkoholijuomat;0964141-0
Stockmann Roof by Ravintola Teatter;Aleksanterinkatu 52, 8-9 krs;100;Helsinki;Helsinki;15.05.2017;Anniskelu A, kaikki alkoholijuomat;0750509-5
Stockmann Turun tavaratalon;Yliopistonkatu 22;20100;Turku;Turku;01.04.2011;Anniskelu A, kaikki alkoholijuomat;2372155-6
Stockmannin ravintolat,;Pohjoisesplanadi 41;100;Helsinki;Helsinki;01.04.2011;Anniskelu A, kaikki alkoholijuomat;2372155-6
Stop-Cafe Oy;Karhunkorpi 1A1;1900;Nurmijärvi;Nurmijärvi;06.07.2012;Vähittäismyyntilupa/max. 5.5 %;2482297-3
Stop@Station;Rautatieasema;100;Helsinki;Helsinki;13.06.2001;Vähittäismyyntilupa/max. 5.5 %;0110858-2
Stop@Station Dixi 1.krs;Ratatie 11;1300;Vantaa;Vantaa;01.12.2014;Vähittäismyyntilupa/max. 5.5 %;0110858-2
Stop@Station Dixi Siltataso;Ratatie 11;1300;Vantaa;Vantaa;01.12.2014;Vähittäismyyntilupa/max. 5.5 %;0110858-2
Stor-Kroksnäs Kokouskartano;Kroksnäsvägen 319;6200;Porvoo;Porvoo;19.01.2018;Anniskelu A, kaikki alkoholijuomat;1516991-7
Storklobb;Storklobb;22710;Föglö;Föglö;24.03.2020;Anniskelu B, miedot alkoholijuomat/max 22%;3020165-5
Stormskärs Värdshus;Byängsvägen;22550;Vårdö;Maarianhamina;06.06.2006;Anniskelu A, kaikki alkoholijuomat;1868572-2
Story;Eteläranta 1 Vanha kauppahalli;130;Helsinki;Helsinki;09.06.2014;Anniskelu A, kaikki alkoholijuomat;2614358-7
Story Kortteli;Urho Kekkosen katu 1 LT 5.33K;100;Helsinki;Helsinki;01.12.2016;Anniskelu A, kaikki alkoholijuomat;2614358-7
Story Tripla;Firdonkatu 2 A;520;Helsinki;Helsinki;16.10.2019;Anniskelu A, kaikki alkoholijuomat;2614358-7
Strampen;Strandgatan 6;65100;Vaasa;Vaasa;29.05.2020;Ann.lupa sis. vähittäismyynnin;2812498-8
Strand service;Paviljongvägen 1;66100;Maalahti;Maalahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2320082-2
Strandbistro;Lillnäsvägen 10;10570;Bromarv;Raasepori;02.04.2020;Ann.lupa sis. vähittäismyynnin;3115957-5
Strandboden Korpoström;Korpoströmvägen 832;21720;Korpoström;PARAINEN;01.04.2019;Vähittäismyyntilupa/max. 5.5 %;2179728-2
Strandboden, Larsmo;Assarskärsvägen 1;68570;Luoto;Luoto;07.07.1995;Vähittäismyyntilupa/max. 5.5 %;0596659-2
Strandhotellet;Dalsbruksvägen 694;25900;Taalintehdas;Kemiönsaari;15.03.2010;Anniskelu A, kaikki alkoholijuomat;2311704-1
Strandhovet Närpes;Närpesvägen 621;64200;Närpiö;Närpiö;15.03.2017;Vähittäismyyntilupa/max. 5.5 %;2812968-2
Strandhovet Närpes;Närpesvägen 621;64200;Närpiö;Närpiö;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2812968-2
Strandhugget;Vänö;25900;Taalintehdas;Kemiönsaari;15.06.2017;Anniskelu A, kaikki alkoholijuomat;N/A
Strandis;Assarskärsvägen 1;68570;Luoto;Luoto;23.07.2007;Anniskelu A, kaikki alkoholijuomat;0596659-2
Strandis Fiskboden Kala-Aitta;Ådövägen 470;68620;Pietarsaari;Pietarsaari;22.05.2017;Vähittäismyyntilupa/max. 5.5 %;0596659-2
Strandkiosken;Bredhällsvägen 257;66220;Bergö;Maalahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Strandnäs Hotell;Godbyvägen 21 B;22100;Mariehamn;Maarianhamina;04.06.2018;Anniskelu B, miedot alkoholijuomat/max 22%;2876067-7
Strandnäs Hotell;Godbyvägen 21 B;22100;Mariehamn;Maarianhamina;29.02.2020;Anniskelu B, miedot alkoholijuomat/max 22%;1814869-5
Street Bar;Hämeentie 10;530;Helsinki;Helsinki;01.12.2019;Määräaikainen A, kaikki alkoholijuomat;2930232-8
Street Bar;Hiihtomäentie 36;800;Helsinki;Helsinki;21.07.2020;Anniskelu A, kaikki alkoholijuomat;3138737-5
Street Bar;Valtakatu 4;26100;Rauma;Rauma;01.01.2016;Anniskelu A, kaikki alkoholijuomat;2667208-3
Street Cafe;Jukankatu 9;55100;Imatra;Imatra;11.07.2012;Anniskelu A, kaikki alkoholijuomat;2413135-5
Street Food Bar Taikuri;Ajurinkatu 16;70110;Kuopio;Kuopio;11.07.2018;Anniskelu A, kaikki alkoholijuomat;1586153-2
Street Food Bar Taikuri, Seppä;Ahjokatu 5;40320;Jyväskylä;Jyväskylä;26.10.2017;Anniskelu A, kaikki alkoholijuomat;2685815-2
Street food bar Taikuri;Asemakatu 3;40100;Jyväskylä;Jyväskylä;17.06.2015;Anniskelu A, kaikki alkoholijuomat;2685815-2
Strike Lanes Bowling;Wahreninkatu 11;30100;Forssa;Forssa;01.08.2019;Anniskelu A, kaikki alkoholijuomat;3011171-3
Strömfors Bed & Bistro Oy;Ruukintie 10;7970;Ruotsinpyhtää;Loviisa;16.06.2016;Anniskelu A, kaikki alkoholijuomat;2744044-4
Strömforsin Klubi;Puistokuja 3;7970;Ruotsinpyhtää;Loviisa;16.05.2000;Anniskelu A, kaikki alkoholijuomat;1565644-0
Strömforsin työväentalo;Forsellesintie 2;7970;Ruotsinpyhtää;Loviisa;07.04.2018;Anniskelulupa ilman toimipaikkaa;0902061-4
Studio;Linnankatu 18;20100;Turku;Turku;27.04.2020;Ann.lupa sis. vähittäismyynnin;2628647-3
Studio 9;Hämeentie 44;500;Helsinki;Helsinki;04.06.2020;Anniskelu A, kaikki alkoholijuomat;2288051-2
Studio 9;Hämeentie 44;500;Helsinki;Helsinki;01.06.2020;Määräaikainen A, kaikki alkoholijuomat;2288051-2
Studio AK;Kauppakatu 15;40100;Jyväskylä;Jyväskylä;01.01.2019;Anniskelu A, kaikki alkoholijuomat;1599323-6
Studio Donner;Kankurinkatu 4-6;5800;Hyvinkää;Hyvinkää;17.01.2020;Anniskelu A, kaikki alkoholijuomat;1459683-7
Studio Linja;Haukantie 2;4320;Tuusula;Tuusula;01.05.2019;Anniskelu A, kaikki alkoholijuomat;0627256-8
Studio Ravintola;Radiokatu 5;240;Helsinki;Helsinki;05.10.2016;Anniskelu A, kaikki alkoholijuomat;2366480-3
Studio SAVON & Eko;Kirkkokatu 6;15140;Lahti;Lahti;26.09.2018;Anniskelu A, kaikki alkoholijuomat;2796488-9
Studioravintola Tundra;Vuotungintie 152;93900;Kuusamo;Kuusamo;01.10.2005;Anniskelu A, kaikki alkoholijuomat;N/A
Stundars / Ravintola Hemmer;Stundarsintie 5;65450;Sulva;Mustasaari;16.04.2007;Anniskelu A, kaikki alkoholijuomat;2093132-0
Sture Jazz bar;Mäkelänkatu 28;510;Helsinki;Helsinki;19.12.2016;Anniskelu A, kaikki alkoholijuomat;1815167-5
Ståhlberg Kahvila;Saapastie 9;33950;Pirkkala;Pirkkala;15.05.2020;Anniskelu A, kaikki alkoholijuomat;3005345-3
Suan Aahaan;Amiraalintie 2;1150;Söderkulla;Sipoo;07.03.2019;Ann.lupa sis. vähittäismyynnin;2813927-4
Subham;Rongankatu 6;33200;Tampere;Tampere;12.03.2019;Anniskelu A, kaikki alkoholijuomat;2969321-8
Suburritos;Mannerheimintie 20;100;Helsinki;Helsinki;07.11.2014;Anniskelu A, kaikki alkoholijuomat;2647026-2
Suburritos;Linnankatu 9;160;Helsinki;Helsinki;01.07.2019;Anniskelu A, kaikki alkoholijuomat;2647026-2
Suikkalan Lava;Salosaarentie 923;56120;Salosaari;Ruokolahti;31.08.2019;Anniskelu A, kaikki alkoholijuomat;2841251-7
Suikkalan Lava/Oluttupa;Salosaarentie 925;56120;Salosaari;Ruokolahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0163017-8
Sulan Riihi;Hiekkamäentie 11;4300;Tuusula;Tuusula;30.09.2019;Anniskelu A, kaikki alkoholijuomat;3016661-8
Sulkavan Soutustadion ja Varviranta;Alanteentie 1 ja Kietäväläntie;58700;Sulkava;Sulkava;01.07.2018;Anniskelu A, kaikki alkoholijuomat;0207433-7
Sulvan Kestikievari;Sulvantie 199;65450;Sulva;Mustasaari;01.04.2000;Anniskelu A, kaikki alkoholijuomat;N/A
Sumiaisten Pizzeria ja Baari;Sumiaisraitti 43;44280;Sumiainen;Äänekoski;22.08.2020;Anniskelu A, kaikki alkoholijuomat;N/A
Summan Krouvi;Siitosentie 29;49420;Hamina;Hamina;15.03.2020;Anniskelu A, kaikki alkoholijuomat;3102932-4
Summer Sound Festival;Tallberginkatu 1;180;Helsinki;Helsinki;18.09.2020;Määräaikainen A, kaikki alkoholijuomat;0691899-8
SummerSauna;Hakaniemenranta 3;530;Helsinki;Helsinki;01.01.2016;Anniskelu A, kaikki alkoholijuomat;2542017-5
Sun Bowling;Jukupolku 3;85100;Kalajoki;Kalajoki;01.06.2012;Anniskelu A, kaikki alkoholijuomat;2478700-4
Sun Steakhouse Restaurant;Rannikkotie 31 B;2580;Siuntio;Siuntio;23.10.2019;Anniskelu A, kaikki alkoholijuomat;2849504-1
Sun Toive;Toivakantie 30;41660;Toivakka;Toivakka;15.02.2017;Anniskelu A, kaikki alkoholijuomat;2799060-6
Sunnan 2;Sjökvarteret;22100;Mariehamn;Maarianhamina;11.03.2020;Anniskelu A, kaikki alkoholijuomat;2996811-1
Suntown;Luostarinkatu 25;21100;Naantali;Naantali;01.10.2017;Anniskelu A, kaikki alkoholijuomat;2820522-7
Suntti;Rantatie 3;21600;Parainen;PARAINEN;11.03.2020;Anniskelu A, kaikki alkoholijuomat;3115973-5
Suola ja Pippuri;Itäkatu 1-7;930;Helsinki;Helsinki;08.12.2019;Anniskelu A, kaikki alkoholijuomat;3094666-5
Suomalainen Pohja;Aurakatu 24;20100;Turku;Turku;01.01.2017;Anniskelu A, kaikki alkoholijuomat;0905242-1
Suomen Kansallismuseon ravintolat;Mannerheimintie 34;100;Helsinki;Helsinki;01.02.2013;Anniskelu A, kaikki alkoholijuomat;0986855-1
Suomen Kansallisoopperan ravintolat;Helsinginkatu 58;260;Helsinki;Helsinki;01.08.2008;Anniskelu A, kaikki alkoholijuomat;0986855-1
Suomen Latu Kiilopää;Kiilopääntie620;99830;Saariselkä;Inari;10.06.2011;Vähittäismyyntilupa/max. 5.5 %;0202192-1
Suomen Marsalkka Mannerheimin Metsä;Marskintie 216;12750;Pilpala;Loppi;15.01.2005;Anniskelu A, kaikki alkoholijuomat;1931158-9
Suomenlinnakeskuksen kahvila;Suomenlinna C 74;190;Helsinki;Helsinki;06.06.2018;Ann.lupa sis. vähittäismyynnin;0220249-0
Suomenlinnan Panimo - Jakeluvarasto;Siirakuja 3;1490;Vantaa;Vantaa;26.05.2020;Käsityöläisoluen vähittäismyynti, määräaikainen;0998922-2
Suomenlinnan Upseerikerho;Suomenlinna C 53;190;Helsinki;Helsinki;01.01.1960;Anniskelu A, kaikki alkoholijuomat;0217064-4
Suomenlinnan kesäteatteri;Suomenlinna B 47;190;Helsinki;Helsinki;21.05.2018;Anniskelu A, kaikki alkoholijuomat;0116857-7
Suomi Grilli & Cafe;Porrassalmenkatu 16 A;50100;Mikkeli;Mikkeli;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1807571-3
Suomussalmen Nuorisoseurantalo;Sepäntie 4;89800;Suomussalmi kk;Suomussalmi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0473272-7
Suomussalmen Seurahuone;Kauppakatu 7;89600;Suomussalmi;Suomussalmi;28.09.2015;Anniskelu A, kaikki alkoholijuomat;2705259-9
Suoraman Pub;Isolukontie 2;36200;Kangasala;Kangasala;06.10.2014;Anniskelu A, kaikki alkoholijuomat;0977091-7
Supermarket Capri;Vipelentie 3-5;55320;Rauha;Lappeenranta;28.06.2013;Vähittäismyyntilupa/max. 5.5 %;2535232-8
Supersaver Supermarket;Tilkankatu 29;300;Helsinki;Helsinki;25.05.2015;Vähittäismyyntilupa/max. 5.5 %;2679405-6
Surf House Helsinki;Fredikanterassi 1;520;Helsinki;Helsinki;15.10.2019;Anniskelu A, kaikki alkoholijuomat;2851339-3
Surf Shack;Linnankatu 42;20100;Turku;Turku;04.06.2018;Ann.lupa sis. vähittäismyynnin;2837337-8
Susa´s Bistro;Vapaudenkatu 6;98100;Kemijärvi;Kemijärvi;13.12.2011;Anniskelu A, kaikki alkoholijuomat;2428822-1
Sushi Forest;Hämeentie 32;530;Helsinki;Helsinki;05.04.2018;Anniskelu A, kaikki alkoholijuomat;2589513-8
Sushi Hot;Kaivokatu 7;13100;Hämeenlinna;Hämeenlinna;01.08.2018;Anniskelu A, kaikki alkoholijuomat;2915086-2
Sushi Hot;Läntinen Pitkäkatu 1;20100;Turku;Turku;06.02.2018;Anniskelu A, kaikki alkoholijuomat;2123680-5
Sushi House;Turuntie 15;24100;Salo;Salo;28.06.2018;Anniskelu A, kaikki alkoholijuomat;2544377-2
Sushi House;Hämeenkatu 9;5800;Hyvinkää;Hyvinkää;03.05.2017;Anniskelu A, kaikki alkoholijuomat;2819041-6
Sushi House;Kauppakatu 5-8;8100;Lohja;Lohja;11.02.2020;Anniskelu A, kaikki alkoholijuomat;3101184-5
Sushi Like;Ratastie 13 D;3100;Nummela;Vihti;07.11.2017;Anniskelu A, kaikki alkoholijuomat;N/A
Sushi Royal;Vapaudenkatu 12;15110;Lahti;Lahti;05.09.2017;Anniskelu A, kaikki alkoholijuomat;2819558-3
Sushi hot;Katsastusmiehentie 6;13130;Hämeenlinna;Hämeenlinna;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2452052-9
Sushibar;Annankatu 13;120;Helsinki;Helsinki;01.12.2009;Anniskelu A, kaikki alkoholijuomat;2290559-9
Sushibar + Wine;Fredrikinkatu 42;100;Helsinki;Helsinki;17.09.2010;Anniskelu A, kaikki alkoholijuomat;2290559-9
Sushibar + Wine City;Kaivokatu 8, Lt 257;100;Helsinki;Helsinki;05.12.2017;Anniskelu A, kaikki alkoholijuomat;2290559-9
Sushibar + Wine Kallio;Hämeentie 19;530;Helsinki;Helsinki;01.08.2019;Anniskelu A, kaikki alkoholijuomat;2290559-9
Sushibar + Wine Korjaamo;Töölönkatu 51 B;250;Helsinki;Helsinki;30.08.2018;Anniskelu A, kaikki alkoholijuomat;2290559-9
Sushilounge;Ratakuja 1 LT 2;1300;Vantaa;Vantaa;11.05.2018;Ann.lupa sis. vähittäismyynnin;2717616-1
Susiraja Camp;Ouluntie 50;93400;Taivalkoski;Taivalkoski;16.06.2020;Anniskelu A, kaikki alkoholijuomat;3136088-5
Suukosken Keidas;Itäpuolentie 4064;95355;Koivu;Tervola;18.05.2019;Anniskelu A, kaikki alkoholijuomat;2497687-6
Suupohjan Panimo/Olu Bryki Raum;Kristiinantie 193;64900;Isojoki;Isojoki;02.11.2017;Tilaviinin vähittäismyynti;2675143-5
SuurSavohalli;Urheilutie 4 A;58900;Rantasalmi;Rantasalmi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1586022-2
Suuret Oluet - Pienet Panimot,;Ratinanniemi, Laukonpolku;33100;Tampere;Tampere;10.09.2020;Määräaikainen anniskelu sisältäen vähittäismyynnin;0600092-5
Suurimaan Kauppa;Tykkööntie 1080;38860;Suurimaa;Jämijärvi;28.09.2007;Vähittäismyyntilupa/max. 5.5 %;0949918-6
Suvannon Santra;Rantakatu 13;80100;Joensuu;Joensuu;10.03.2017;Anniskelu A, kaikki alkoholijuomat;2370168-6
Suvilahden TBA;Kaasutehtaankatu 1, rakennus 8;540;Helsinki;Helsinki;07.06.2019;Anniskelu A, kaikki alkoholijuomat;2632449-2
Suviranta;Aittoniementie 220;91760;Vaala;Vaala;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2646906-9
